"id_auto";"SANDRE";"auteur_apa";"cd_apa"
122113;"6732";"REF_OMNIDIA";"GHAM"
122117;"9551";"REF_OMNIDIA";"GRAM"
122148;"7746";"REF_OMNIDIA";"GYAL"
122150;"7747";"REF_OMNIDIA";"GYAR"
122155;"7749";"REF_OMNIDIA";"GBDI"
122157;"7750";"REF_OMNIDIA";"GDPA"
122159;"7751";"REF_OMNIDIA";"GYEV"
122161;"7752";"REF_OMNIDIA";"GYEX"
122164;"7753";"REF_OMNIDIA";"GFAS"
122168;"7756";"REF_OMNIDIA";"GFSU"
122170;"7757";"REF_OMNIDIA";"GFTE"
122172;"7758";"REF_OMNIDIA";"GYHU"
122174;"7761";"REF_OMNIDIA";"GOBS"
122176;"7762";"REF_OMNIDIA";"GYPA"
122178;"7763";"REF_OMNIDIA";"GPEI"
122181;"7764";"REF_OMNIDIA";"GYPR"
122183;"7770";"REF_OMNIDIA";"GSTR"
122186;"7771";"REF_OMNIDIA";"GYSU"
122188;"7773";"REF_OMNIDIA";"GYTA"
122191;"7775";"REF_OMNIDIA";"GWMI"
122206;"9538";"REF_OMNIDIA";"HANN"
122207;"8798";"REF_OMNIDIA";"HACA"
122209;"8801";"REF_OMNIDIA";"HFOG"
122211;"8803";"REF_OMNIDIA";"HVIR"
122218;"9423";"REF_OMNIDIA";"HASL"
122306;"9479";"REF_OMNIDIA";"HYDR"
122487;"7781";"REF_OMNIDIA";"LDIS"
122489;"7785";"REF_OMNIDIA";"LPAR"
122513;"9539";"REF_OMNIDIA";"MART"
122518;"8665";"REF_OMNIDIA";"MDEN"
122520;"8667";"REF_OMNIDIA";"MDIC"
122522;"8672";"REF_OMNIDIA";"MDBL"
122524;"8673";"REF_OMNIDIA";"MDHE"
122526;"8674";"REF_OMNIDIA";"MDLA"
122530;"8677";"REF_OMNIDIA";"MDPE"
122532;"8680";"REF_OMNIDIA";"MEXC"
122534;"8681";"REF_OMNIDIA";"MFEN"
122536;"8686";"REF_OMNIDIA";"MGAT"
122538;"8688";"REF_OMNIDIA";"MGVA"
122540;"8695";"REF_OMNIDIA";"MIBA"
122542;"8696";"REF_OMNIDIA";"MIHA"
122544;"8697";"REF_OMNIDIA";"MIMU"
122546;"8698";"REF_OMNIDIA";"MIPA"
122548;"8699";"REF_OMNIDIA";"MIPE"
122550;"8700";"REF_OMNIDIA";"MIPL"
122552;"8702";"REF_OMNIDIA";"MITE"
122555;"8704";"REF_OMNIDIA";"MJUE"
122558;"8705";"REF_OMNIDIA";"MLIN"
122561;"8706";"REF_OMNIDIA";"MLPE"
122565;"8707";"REF_OMNIDIA";"MMON"
122567;"8708";"REF_OMNIDIA";"MNUM"
122571;"8710";"REF_OMNIDIA";"MPER"
122574;"8714";"REF_OMNIDIA";"MELO"
122578;"8716";"REF_OMNIDIA";"MTER"
122580;"8717";"REF_OMNIDIA";"MUND"
122582;"8718";"REF_OMNIDIA";"MUNO"
122592;"6738";"REF_OMNIDIA";"MCIO"
122599;"6740";"REF_OMNIDIA";"MERI"
122706;"7789";"REF_OMNIDIA";"NABO"
122708;"7791";"REF_OMNIDIA";"NACO"
122711;"7792";"REF_OMNIDIA";"NACE"
122713;"7793";"REF_OMNIDIA";"NADV"
122715;"7796";"REF_OMNIDIA";"NAME"
122718;"7800";"REF_OMNIDIA";"NAGL"
122721;"7811";"REF_OMNIDIA";"NXAS"
122726;"7821";"REF_OMNIDIA";"NBIB"
122728;"7823";"REF_OMNIDIA";"NBCT"
122731;"7834";"REF_OMNIDIA";"NBUD"
122733;"7837";"REF_OMNIDIA";"NCAN"
122736;"7839";"REF_OMNIDIA";"NCAP"
122743;"7845";"REF_OMNIDIA";"NCAA"
122745;"7846";"REF_OMNIDIA";"NCAL"
122750;"7850";"REF_OMNIDIA";"NCHA"
122752;"7852";"REF_OMNIDIA";"NCIA"
122754;"7857";"REF_OMNIDIA";"NCLD"
122759;"7869";"REF_OMNIDIA";"NCRZ"
122761;"7870";"REF_OMNIDIA";"NCMS"
122763;"7873";"REF_OMNIDIA";"NCRU"
122765;"7875";"REF_OMNIDIA";"NCEX"
122771;"7887";"REF_OMNIDIA";"NCYM"
122775;"7900";"REF_OMNIDIA";"NDIG"
122781;"7904";"REF_OMNIDIA";"NDGN"
122783;"7907";"REF_OMNIDIA";"NDSM"
122785;"7909";"REF_OMNIDIA";"NDUR"
122787;"7919";"REF_OMNIDIA";"NEXG"
122790;"7921";"REF_OMNIDIA";"NECT"
122792;"7922";"REF_OMNIDIA";"NESI"
122796;"7926";"REF_OMNIDIA";"NFES"
122798;"7928";"REF_OMNIDIA";"NFLU"
122800;"7929";"REF_OMNIDIA";"NFOR"
122803;"7937";"REF_OMNIDIA";"NGBO"
122805;"7938";"REF_OMNIDIA";"NGBU"
122810;"7949";"REF_OMNIDIA";"NGRG"
122816;"7952";"REF_OMNIDIA";"NHAG"
122818;"7955";"REF_OMNIDIA";"NHMF"
122820;"7956";"REF_OMNIDIA";"NHRD"
122822;"7958";"REF_OMNIDIA";"NHST"
122824;"7961";"REF_OMNIDIA";"NHEL"
122828;"7967";"REF_OMNIDIA";"NHUC"
122831;"7984";"REF_OMNIDIA";"NJAR"
122833;"7988";"REF_OMNIDIA";"NKOT"
122836;"7989";"REF_OMNIDIA";"NKUN"
122840;"7993";"REF_OMNIDIA";"NLPE"
122842;"7998";"REF_OMNIDIA";"NLTK"
122847;"8001";"REF_OMNIDIA";"NLBL"
122849;"8009";"REF_OMNIDIA";"NMGL"
122852;"8012";"REF_OMNIDIA";"NMCV"
122856;"8015";"REF_OMNIDIA";"NMEN"
122858;"8017";"REF_OMNIDIA";"NMNS"
122861;"8018";"REF_OMNIDIA";"NMCA"
122864;"8019";"REF_OMNIDIA";"NMDG"
122870;"8029";"REF_OMNIDIA";"NMLL"
122872;"8042";"REF_OMNIDIA";"NNYA"
122882;"8048";"REF_OMNIDIA";"NOPP"
122884;"8051";"REF_OMNIDIA";"NPRM"
122886;"8057";"REF_OMNIDIA";"NPGE"
122888;"8060";"REF_OMNIDIA";"NPGS"
122890;"8061";"REF_OMNIDIA";"NPEH"
122892;"8066";"REF_OMNIDIA";"NPHY"
122895;"8069";"REF_OMNIDIA";"NPNC"
122897;"8070";"REF_OMNIDIA";"NPLI"
122899;"8080";"REF_OMNIDIA";"NPFO"
122901;"8081";"REF_OMNIDIA";"NPSH"
122903;"8083";"REF_OMNIDIA";"NPSL"
122906;"8086";"REF_OMNIDIA";"NPPU"
122908;"8088";"REF_OMNIDIA";"NPSC"
122911;"8090";"REF_OMNIDIA";"NPVE"
122916;"8105";"REF_OMNIDIA";"NQPU"
122921;"8110";"REF_OMNIDIA";"NRMO"
122927;"8113";"REF_OMNIDIA";"NRCR"
122929;"8114";"REF_OMNIDIA";"NRCH"
122939;"8118";"REF_OMNIDIA";"NRHF"
122944;"8120";"REF_OMNIDIA";"NRHA"
122947;"8121";"REF_OMNIDIA";"NRHE"
